Online medical questionnaire was…,Online medical questionnaire was straight forward and direct to the point.
I love that I can have all my pre…,"I love that I can have all my pre existing conditions covered!

But it is soooo expensive 😭"
Excellent Service,The coverage was well explained and the process was very efficient .
Helpful advisor,Ask questions about “pre-existing conditions.” What is it? How does it affect me? Why is this important? The advisor will explain.
Very pleasant on the phone,"Date of experience: December 19, 2024"
Process all good,Process all good. But extra premium for mild dementia seemed a bit high.
It was very fast and the agent was…,It was very fast and the agent was clear and explained things very well.
He was very patient and helpful,He was very patient and helpful
Excellent explanation of what is and is…,Excellent explanation of what is and is not covered.
Ease of use and promptness.,Ease of use and promptness.
I had a very good representative who…,I had a very good representative who was pleasant and well informed re information.
Clear guidelines.,Clear guidelines.. honest responses to questions and very pleasant conversation.
Thank you Snowbird Advisory,Alway nice working with Snowbird Advisory they listen and understand my needs. They never try to up sell only suggest what you need. The agent was nice polite and smart.
Easy to sign up for insurance and…,Easy to sign up for insurance and competitive rates.
Efficient,"The service to purchase was quick, easy and professional. We have not have to use the insurance so can’t comment on it."
VERY GOOD CUSTMER SERVICE,VERY GOOD CUSTMER SERVICE - VERY FRIENDLY
Easy to navigate the process,Easy to navigate the process. quick and responsive
Easy staff to work with,Easy staff to work with. Always available and knowledgeable
Lots of questions but easy to understand,"Date of experience: December 17, 2024"
Wonderful customer service.,"This is our second time working with you to identify and purchase travel insurance. Both times have been outstanding. We have had Tim, Emily, and Nicholas. They were focused, friendly, knowledgeable, and efficient.

Thank you for such excellent customer service"
Enrollment was easy.,"Enrollment was easy, yes or no questions. It took approx 30 mins to complete the entire transaction. The person I talked to was very professional, courteous and informative. It was a pleasure dealing with her. I now have travel insurance for the year and peace of mind. Thank you."
It was very easy to set up the…,It was very easy to set up the insurance on line.
The website application works well,The website application works well. Forgot a pre-existing condition and then went back and added it into the data. But it remembered other data so did not have to re enter everything.
Good customer service and great pricing.,Good customer service and great pricing.
Very quick and easy,"Very quick and easy.
Great price, too."
It was easy and straight forward,It was easy and straight forward. Thank you.
They were easy and clear questions,"Date of experience: December 14, 2024"
Very simple and efficient website,"Very simple and efficient website
Used it last year to purchase insurance also
Excellent service fast responce"
Honesty is the best policy.,Christy was a very honest kind lady. She answered all of my questions.
Good clear communication,Good clear communication on what coverages are provided. Conditions also clearly laid out several times. Premiums were the best we could find from all providers quoted.
Helpful,"I talked to 3 different people while inquiring about out of country insurance. Emily, Jerry & Kristi. All very polite & helpful. Appreciated their patience & knowledge.
Thank you!"
Very easy to understand,"Date of experience: December 19, 2024"
I talked with Tiffany,"I talked with Tiffany, she was informative,took time to explain every detail,was patient with my many questions as I was new to Snowbird Advisor Insurance but not to travel insurance so I wanted to be sure before I made a switch to a new company for myself.....Tiffany was great and I am now insured to travel for the coming year 2025."
Quick and easy,Quick and easy. An excellent policy with a reputable insurer (one hopes; ask me again if I need to make a claim)
Fantastic service.,The agent I spoke with was extremely helpful and very nice. She spent a lot of time making sure I was getting the best price possible for our travel insurance needs. Highly recommend using Snowbird advisor for insurance and phone plans for USA.
Best value,Almost half the price of other companies.
Quick,"Quick
Efficient
Polite"
Very helpful rep,"Date of experience: December 18, 2024"
Travelling protected is my desire!,"This Is my second year using Snowbird Advisor Insurance. Both times the company representatives have been very knowledgeable, ensured I fully understood differences in policies and supported me in choosing the right policy.

Within 15 - 30 minutes I was signed up and able to mark off my todo list.

Thank you for being so efficient."
Very easy and efficient process to…,Very easy and efficient process to apply. Staff were knowledgeable and helpful.
Representative Jenny was excellent,"Representative Jenny was excellent, slowly read through and explained options, answered questions I had."
Your questionaire falls short of any fairness,"As soon as I answered yes to one question, the policy
doubled in price. There was no follow up to the question. I was diagnosed with coronary artery disease twenty years ago. Two arteries were partially blocked. Since then, with medication, good exercise and diet, I am able to walk 6 kilometers at 5 km per hour in one walk on a regular basis, without any discomfort. Your questionaire doesn't consider any. part of this. Rating you at 2 stars is pretty accurate."
Rate was reasonable against others I…,Rate was reasonable against others I had checked
quick response to my request for a…,"quick response to my request for a quote
Competitive price"
I didn’t have to wait for an agent,I didn’t have to wait for an agent. The agent was knowledgeable and efficient with time.
Easy comprehensive process.,Very easy to understand and complete requirements to obtain coverage.
I had to top up my insurance as we are…,I had to top up my insurance as we are going to Barbados in Feb. The person I dealt with was very informative and very accommodating. We got what we needed quickly. Very impressed!
The fast service and great rates,"Date of experience: December 17, 2024"
No waiting on phone line to speak to an…,No waiting on phone line to speak to an agent. The agent was very knowledgeable and fast.
Very helpful.,"Date of experience: December 12, 2024"
Easy and Simple,"We just made a phone call to purchase travel insurance, and it was done very easy, simple and straight forward! No issues!"
Don't remember,"The agent, I can't remember her name, was very friendly . She had a great sense of humor and made me feel I can trust her. She answered all my questions promptly. Thank her for me"
easy to use,"easy to use, all information was easy to access."
Fast Efficient Service,Pleasant representative who was able to provide us with product we needed. It all happened quickly as well.
The associate was knowledgeable and a…,The associate was knowledgeable and a great communicator.
"Quick, easy and a knowledgeable agent","The woman I dealt with was quick and knowledgeable, easy to understand. She read the questions easily and made sure I understood the implications of not answering correctly or answering falsely.
We have used Snowbird many times and will continue to do so. Excellent rates!"
Polite and courteous service,Polite and courteous service. Knowledgeable regarding the product I was looking for.
Very nice people to deal with,Very nice people to deal with. Very good pricing
I didn’t have to wait on the phone for…,I didn’t have to wait on the phone for a long time and the agent was very knowledgeable
Fast friendly service!,Fast friendly service!
Employee was friendly and very helpful!,"Date of experience: December 10, 2024"
Great company have used for years.,As someone with multiple health issues this provides me great insurance at a fair price. Easy to get a quote and buy insurance.
Easy to get quote and when required to…,"Easy to get quote and when required to talk to staff, very friendly and competent."
We dealt with agent “Samantha”,"We dealt with agent “Samantha”. She made the experience very nice, quick and easy. She really knows her stuff and made the medical questionnaire easy but thorough."
Nice to speak to a kind professional,"Date of experience: December 14, 2024"
Kristy made getting our travel…,"Kristy made getting our travel insurance quick, stress free and smooth. If every person I had to deal with over the phone was like her, it would be wonderful! She was so pleasant. I hung up with a smile! Will be passing along to our family and friends how pleased I am with Snowbird Advisor Insurance and to ask for Kristy!"
How fast and easy it was,"Date of experience: December 13, 2024"
Quotes given and delivered in timely…,Quotes given and delivered in timely manner. Agents were friendly and gave excellent service.
Site was easy to navigate,Site was easy to navigate amend questions were simple and straight forward
I spoke to several service…,I spoke to several service representatives as I explored all my options and called back for clarifications. They were all very well knowledgeable in this field. All my questions and concerns were answered and at the end of my comparisons I chose the Snowbirds package.
Straight forward and easy to navigate…,Straight forward and easy to navigate your site. Price point is great and the ability to purchase online is wonderful.
I was able to get the best quote by…,I was able to get the best quote by using your site.
Good coverage at a reasonable cost,Good coverage at a reasonable cost. The online quote was easy to obtain.
Easy to understand.,"Date of experience: December 07, 2024"
The agent Nicholis was very helpfull,"Date of experience: December 12, 2024"
Fast & Comprehensive Coverage,Speed and competitiveness of quotation and overall coverages.
Your telephone agent (Nicholas) was…,Your telephone agent (Nicholas) was great.
Easy to communicate all issues.,"Date of experience: December 07, 2024"
"Very helpful,and explains questions I…","Very helpful,and explains questions I didn't understand...but do think it's a little pricey for 3 months"
Travel with comfort helpful with r…,The staff is not only helpful with r needs but knowledgeable about what r travel needs r while u r on holidays excellent service
Tim was excellent to deal with,"Tim was excellent to deal with, very clear, concise and polite, not often found in todays world anymore."
Quick and easy,Ordering online was very easy to follow and quick to do. I will use them again.
Very easy to use,Very easy to use
Easy of making the transaction,"Easy of making the transaction, easy to follow instruction"
I was able to buy my insurance and…,I was able to buy my insurance and receive right away by e mail .
Clear easy online application,Clear easy online application. Best price policy ptoven when I tried to book online with Manulife directly the price was not better!
Getting the exact help I needed,"Date of experience: December 06, 2024"
Very professional,The rep I spoke with was very professional.
Great pricing compared to others.,"Date of experience: December 02, 2024"
Easy to use and a great price.,"Easy to use and a great price.
I like the preexisting segment"
Very efficient and easy process,Very efficient and easy process. Competitive pricing. Excellent customer service.
We recently added 2 top up days to our…,"We recently added 2 top up days to our existing 60 day policy and there is a new service charge of $25 added in to the daily top up rate called “out of country departure?”

seems like a money grab!"
The person at the other end of the…,The person at the other end of the phone was extremely efficient. A real treat.
good advice,"Date of experience: December 04, 2024"
The price is very competitive and the…,The price is very competitive and the online process was seamless.
You answered all my questions and you…explained everything.,You answered all my questions and you were very patient with me. I needed to make corrections the next day. You were still very kind and patient with me. That meant a lot to me.
Easy to use,"Easy to use, competitive rates"
Good service.,"Date of experience: December 04, 2024"
Agent on phone was knowledgeable and…,Agent on phone was knowledgeable and efficient.
Very quickly done,Very quickly done. Most impressed with the efficiency of the process
Excellent price,"Excellent price, easy to complete."
We just took out the travel insurance…,"We just took out the travel insurance but have not gone on our trip. The cost of the insurance was great but until we have a claim, we wont know how good Snowbird Advisor insurance is."
Easy to follow,Easy to follow. Reliable and have used them many times.
Returning customer encountered problems with software,"I clicked on 'Get a quote and buy online' box in the email from the company, then clicked the red online quote box on the next screen. The 3rd screen displayed 'Single' on the 'Type of traveller(s)"" line with no other lines below to fill in, I clicked on the blue 'get my quote' box with no response. Tried a few times but was getting nowhere. Also tried accessing from 'Single Trip Plans' section on the 2nd screen to meet the same results. Called Snowbird Advisor and was asked to start fresh and it worked, more lines displayed below the 'Type of travellers' and had no more problems from then on."
very simple online process and agents…,very simple online process and agents readily available to answer any questions.
Fast friendly service,"Fast friendly service, seamless"
It was easy to understand,"It was easy to understand, thorough and efficient"
Best price,Good service and good price
The contact person I spoke with was…very good,The contact person I spoke with was very helpful & pleasant to deal with. Everything was explained very well. Very good pricing.
Experience was good.,Experience was good.
Professional Service,"Professional Service, prompt response, good price."
Very easy and great prices and coverage…,Very easy and great prices and coverage !
Very helpful and patient agents! Thanks Crystal and the other agent!,"We spent a lot of time on the phone and the girls were so helpful! They had questions, I had questions and I had to call my doctor and call them back and they took everything into account!"
Very helpful explanations for all our questions.,Very helpful explanations.
Very clear on what is and what isn’t…,"Very clear on what is and what isn’t covered.
I wish prices were lower and that a discount could be applied to return customers who did not make any claims."
Easy online quote process,"Easy online quote process

The price was very competitive and Easy to complete online. No time wasted getting someone on the phone."
Site was easy to navigate,"Site was easy to navigate …called the main number for clarification,,, agent was knowledgeable and very pleasant"
Everything was good.,"Everything was good.. All questions answered, service was also satisfactory..."
The agent was professional &…,The agent was professional & knowledgeable. He tried to make for a better deal & coverage by attaching me to my wife's annual policy.
Informative & pleasant staff member…,Informative & pleasant staff member that I spoke to.
Very easy to use resonable price!,"Date of experience: December 04, 2024"
Simply the best.,"Professional, Efficient, Fast, Exceeds expectations"
Getting good travel insurance is easy & convenient!!,CS rep who took our call was helpful & respectful. Snowbird Advisor Insurance is the way to go!
Do not travel without a medical coverage,"Great and approchable personnel. Answered all my questions and concerns.

Will for sure recommend your organization to all my friends and family."
Staff addressed all my questions,Staff addressed all my questions
Easy Renewal,Cindy was very helpful in guiding me through the many questions that needed to be answered and explained exactly how the process worked. I couldn't be happier
Very easy on my phone,"Date of experience: December 03, 2024"
Easy to sign up for coverage,Easy to sign up for coverage
Ease of obtaining the policy for my…,Ease of obtaining the policy for my trip.
Save a lot of money and able to talk to…,Save a lot of money and able to talk to some one for advise.
Good experience.,"Good experience.
PLeased with the service."
Ron & Lisa,"Ron, Lisa and team,thank you always for the excellent service received over the years."
Easy to use,Easy to use. Simple to get quote and make payment
Professional,"Professional, courteous agents, and good product availability."
Happy experience …,My agent told me a variety of insurance options for me - pay by trip or take a yearly option. Very satisfied with his help.
Good senior pre-existing travel insurance coverage,"Appreciated pre-existing travel medical insurance coverage; good coverage for long international, worldwide trips; cost is high"
Pre-existing coveragr for seniors,Offered good coverage with pre-existing conditions covered. Loved that they covered worldwide travel. Would hope for lower costs through repeat user or otherwise.
Easy Peasy!,"Date of experience: November 28, 2024"
Top class service …,Always excellent service from Snowbird Advisors. Pleasant efficient agents. No complaints
Immediate help,Immediate help! My only complaint is that the fee was so much higher than last year and there has been no change in my health/ fitness since last year when u covered me.
very easy process,"Date of experience: November 22, 2024"
The online signup procedure was clear…,The online signup procedure was clear and simple.
Easy to follow online instructions,"Easy to follow online instructions, quick process, questions were answered by a real person with no long wait time."
This is my first experience with…,"This is my first experience with Snowbird Advisor and I am suitably impressed. There process is easy to navigate and very straight forward. The one thing that I didn't see on the website, after signing in, is where to retrieve my quote when I was ready to purchase so had to redo my quote in order to make the purchase. All in all very happy with Snowbird Advisor."
I spoke to Jerry and he was excellent,I spoke to Jerry and he was excellent. Knowledgable and very understanding. Made getting travel Insurance very easy.
Very quick and professional to get our…,Very quick and professional to get our insurance done. This is our 3rd time using it and will continue using it in the future.
Best Comparable Pricing,Policy price was better than other provider used in the past. Easy to apply and purchase online. Thanks
Sign up site was easy,Sign up site was easy. The true test will be if I need to make a claim
hassle free.,"Date of experience: November 21, 2024"
Great insurance…,"I was planning a one day trip to the us, went on line followed the prompts and within minutes had my coverage"
The overall process was easy…,The overall process was reasonably easy to understand and complete online. We did not compare rates with other potential service providers because we found the experience satisfactory and costs affordable.
Very easy to use and reasonable price,"Very easy to use and reasonable price
Thank you"
pretty easy to follow along and fill it,pretty easy to follow along and fill it out
I’ve been using Snowbird Insurance for…,"I’ve been using Snowbird Insurance for the last 10 years, always great service and good prices. Easy, efficient and trustworthy."
"Fast, Efficient and Affordable","I've dealt with Snowbird Advisor Insurance for a few years now and each year I buy an annual plan and then a four-month top-up as we head to Palm Springs for the winter.

Each time the Rep on the other end in pleasant, knowledgeable and prompt in their dealings. This time, I dealt with Teresa whom I've dealt with on a few occasions and she is the definition of a star employee. She knows her stuff and easy to work with. So, Snowbird Advisor Insurance, hold onto her. She a real ASSET to your company and to us who pay the freight.

Hopefully, I won't ever have to make a claim but the REAL test is how the company supports the customer in a time of need and hopefully they don't scurry down the rabbit hole if it comes time to pay. For now, based on the manner of how they do business, I'm going to guess they'll be there in a time of need."
Jenny was excellent in guiding me…,Jenny was excellent in guiding me through questionnaire. She explained things well and was patient and pleasant.
Very patient attendant,"Very patient attendant, however - they need to offer all options up front. Feel we had to explore options as they came to light"
A pleasure to deal with,"Easy, straight forward, kept files from previous history, pleasant to deal with on phone"
Great customer service provided best…,Great customer service provided best plan which is very reasonable
The agent took a lot of time with us…,The agent took a lot of time with us and answered all our questions.
Stavro was excellent to deal with,Stavro was excellent to deal with
Very helpful and patient,"Date of experience: October 29, 2024"
Easy to use website,Easy to use website. Customer service were excellent when I needed to make a change.
Satisfied with experience,Was able to obtain the special insurance I needed at a reasonable price
I did not like the 40% increase in…,I did not like the 40% increase in premium after 2 years claim free with Blue Cross.i wish my pension increased this much to keep up!
Helpful personnel-good price,The agent I dealt with was helpful and efficient and the insurance product I purchased was priced very competitively.
I found them to be very informative and…,"I found them to be very informative and the time it took was so quick, no waiting on the phone for a representative"
Great simple to use,"Date of experience: November 18, 2024"
Competitive pricing and easy to apply,Competitive pricing and easy to apply
Knowledgeable,"Knowledgeable, friendly and courteous staff."
Saved our trip,We were very pleased with the service we received from Snowbird Advisor. As we had a hard time to get the coverage we needed.
Really helpful and great at explaining…,Really helpful and great at explaining all the questions
Great service,"Date of experience: November 20, 2024"
Company representative was excellent,"Company representative was excellent - personable, professional and knowledgeable."
The representative was accommodating…,The representative was accommodating and patient.
Straight forward function of the online…,"Straight forward function of the online application and declaration .
Options were easy to understand and price for different deductibles."
Knowledgeable and helpful customer…,Knowledgeable and helpful customer service representative
Simple,"Simple, straight forward and reasonably affordable, quick and efficient."
easy to follow application and good…,easy to follow application and good pricing
Quick efficient response,Quick efficient response. 10 minutes and I had my insurance.
Like I was her first call of a good day,"I believe her name was Jody. She was effiecent knowledgable and most important friendly. Its hard to positive experiences over the phone these days. She explained everything like it was her first time today ... I know she probably recites those disclaimers in her sleep,"
Easy peasy with a great price.,Easy peasy with a great price.
"Comparable pricing, good information",Knowledgeable person giving us information and assistance when completing questionnaire
Very professional and knowledgeable,Very professional and knowledgeable
Very knowledgeable agent (Nicholas).,"Very knowledgeable agent (Nicholas).
The downside was the cost for 4 months coverage.
We will be changing our plans in the future to 2 or 3 one week all inclusive stays."
Easy to order,"Easy to order, need to concentrate and fully understand some of the questions. Really well setup."
Easy to use,Easy to use. Quick.
Fast and efficient and very friendly.,"Date of experience: November 21, 2024"
Great price,Great price - Easy navigation thru the application process.
It was easy to get insurance,It was easy to get insurance
Great service,"Great service, no wait time on phone. Answered the medical questions. Given a quote immediately. Very competitive pricing. Purchased insurance, hopefully I won't need to use it.
If I do, I'll advise how they treated me and my situation. So far good to deal with."
Pleasant experience,The person who helped with our application was very efficient and explained in terms we could understand. Experience was not too long. She helped us determine which type of insurance we should choose for our trip
Easy online access,Easy online access
Always convenient and professional!,"Date of experience: November 20, 2024"
Best insurance agent....ever!,"This year has been the simplest & most smooth application for travel insurance. Your agent, Patty, was extremely efficient. Patty answered all my questions and explained the process clearly. Patty's tone is warm, friendly and professional. Patty has a smile in her voice."
Pretty much straightforward and simple…,Pretty much straightforward and simple questions.
"Fantastic,",Always receive excellent guidance from Karen D. when I renew my insurance. I have referred friends and family to Snowbirds!
I deal with CARLA and she is a GEM,"I deal with CARLA and she is a GEM
She is courteous knowledgeable and she makes my life much easier whether it’s the original policy or the many changes I need to make earlier this year
You should cherish her and reward her accordingly
Also your date of experience ! Should be allowed to be added too
The above compliments are related to the numerous dealing I’ve had with Carla over the past 3-4 yrs
Ann Marie Sage"
The most inexpensive insurance I found…,The most inexpensive insurance I found and super easy to navigate. Highly recommended!
The availability of contacting someone…,The availability of contacting someone live when you initiate a call and response is extremely helpful. On the spot approval and follow up conformation reflects very good service.
The agent was extremely helpful in…,The agent was extremely helpful in explaining everything
It's very simple to apply and get a…,It's very simple to apply and get a good price
"Clear questions,easy to…","Clear questions,easy to complete,reasonable prices"
Pre existing conditions covered,I liked the terms for pre existing conditions and agents very helpful. Costs comparable to other plans.
The best online travel insurance experience.,Didn’t have to wait long to speak to someone. Good customer service. Simple process. Value pricing. Two thumbs up.
Fast and reasonably priced,Fast and reasonably priced. I would have given you a 5 star but you refused insurance for my husband altogether. Risky to travel without insurance at all. Even a limited policy would have been better than nothing.
rate is cheaper than other insurance…,rate is cheaper than other insurance company
Excellent price and service,Best price and service
Good concise information on line,"Date of experience: November 18, 2024"
Fantastic agent. High price.,The agent was fantastic. Unfortunately your price was about $800. Too high. I found the same coverage for $800 less.
What I needed for a good price.,"The application process was straightforward and quick. After comparison with other providers, the cost is more than fair."
The snowbird rep was fantastic,The snowbird rep was fantastic. She was friendly and knowledgeable . She reviewed the different policies to ensure we got the best rate.
Easy person to deal with ..made me…comfortable,Easy person to deal with ..made me comfortable asking questions.
Friendly,"Friendly, helpful & courteous 👍"
Rates are very competitive,Rates are very competitive. Plans could be made easier to understand. Customer representative was somewhat helpful.
Excellent staff!,"Date of experience: November 15, 2024"
She was very thorough in explaining…each item.,She was very thorough in explaining items in question. I felt confident in the outcome of our conversation. No hesitation in buying again.
Know the exclusions on your policy,I’m grateful to my agent for her patience and willingness to help me obtain insurance. I have a complicated case.
Travel Insurance,"I needed travel insurance and the rep I spoke to was very helpful, knowledgeable, and helped me save a few dollars, which I appreciated. I will use Snowbird again."
Helpful advice,"The Service Advisor was very knowledgeable and helpful in determining what policy was best for me.
Good job !"
Very easy to talk to and made this an…,Very easy to talk to and made this an easy process.
Ease of use and pricing made for an…,Ease of use and pricing made for an practical experience.
Slightly complicated on line,"Slightly complicated on line, but insurance is purchased"
5% travel insurance member discount falsehood,"I would like to share my experience with Snowbird Advisor Insurance in the hopes that other members don't also get fooled.

Upon viewing the 5% discount for members on the Snowbird website, I went online to book travel insurance for my trip. I dutifully answered all the questions and eventually got to the cart, but the discount was nowhere in sight.

I called Snowbird insurance only to be told that the discount only applies to some travel insurance , not all. Really?

I expect better from Snowbird Advisor. Shame on you."
Your representative Jenny,"Your representative Jenny, was very polite and knowledgeable. First time in 3 years coverage had we been offered a tax receipt!! We do use Snowbird for our travels but feel if there is not a claim, and we have used it for 3 years,, there should be a percentage rebate after non use of our policies. Cost went up over $1,000.00 for us this year making it almost $3400.00,,,, pensioners cannot afford it."
Quick and easy. Good price,Quick and easy. The price was good
Always an easy booking experience,"Always an easy booking experience, competitive pricing as well. Haven't had a claim so no idea on that part but I wouldn't anticipate any issues."
Great Service,The agent I talked to was very clear about the product and explained everything very clearly. The price was significantly lower than Blue Cross.
Doesn't identify true health in medical questionare,easy to complete but questions should have a time frame to them like questions about cholesterol. Have been taking medication for years and well within the range same with diabetic taking meds for years but well within the required level and have been for years. I take a 3 month blood test regularly.
Nicole was very professional and…,Nicole was very professional and helpful. I felt we had thoroughly gone through the information.
Knowledgeable about health and insurance,Knowledgeable about health and insurance
I spoke to Timothy and he was both…,"I spoke to Timothy and he was both helpful, knowledgeable and patient. He explained any question that I had......very well."
Cumbersome Process,"Yesterday my wife and I topped up our insurance for an extra couple of weeks. The process to do this was crazy cumbersome, overly bureacratic, and time consuming; unlike previous times."
Great service staff…,"The young woman that went over our travel insurance was king and patient with us explained everything and made our decision very easy
Thank you"
The questionnaire is very easy to navigate.,The questionnaire is very easy to navigate and straightforward
Quick and easy review process,"Competitive
Quick and easy review process"
Easy to navigate,"Easy to navigate

I hope it’s that easy if I have a claim"
Travel,Easy to apply.
Great website,Great website
Very good all round service,"Very good all round service. No long wait time to speak to agent. Agent very efficient in completing the application, processing payment and issuing all documents. Gives me confidence that any claims will be handled the same way."
The lady was very good and thorough in…,The lady was very good and thorough in answering questions. Also it’s nice to talk to people who have very good English. We have been buying our travel insurance since 2019 and had nothing but excellent customer service.
Excellent service,Excellent service
Very professional organization,The lady was very professional and fast!
We have used them for a few years now,"We have used them for a few years now. They explain everything, look for the best options for you, offer incentive for returning customers and are really personable. After comparing five different companies they were the lowest price too."
Quote online was great,"Date of experience: November 08, 2024"
Excellent service,The person we dealt with was very knowledgeable and professional.
The application process online was quick and easy.,The application process online was smooth and seamless. Questions were direct with very little room for misinterpretation.
Nice person great,Nice person
Buying the travel insurance was very…,Buying the travel insurance was very easy and straightforward.
Simple,"Simple, easy and affordable process"
Happy with service,"Date of experience: November 09, 2024"
Excellent customer service!!,"Date of experience: November 10, 2024"
Buying travel insurance,Buying travel insurance was easy at Snowbird Advisor. This is the third year and it's actually gotten easier. The price is better than anywhere else and it's exceptional coverage.
Exploring Multiple providers and SNOWBIRD WINS!,I have explored multiple providers and always Snowbird Advisor has been greatest value.
Leave the country with confidence!,We have used this resource for excellent insurance priced at great value for several years. Thankfully we have not had to use it but we go on our travels with confidence!
Great Customer service,Your rates are competitive.
Single trip travel insurance,"Very informative staff who were able to answer all my questions as well as make recommendations.

Excellent coverage for my needs and very competative pricing.

Very easy to quote online and order."
The agent understood,"The agent understood, but I want it and gave me a quote. She spoke English very clearly and was very professional."
Very satisfied.,"Site is easy to navigate, questions are easily understood, prices are very reasonable."
Easy to deal with,Easy to deal with
The agent was knowledgeable and very…,The agent was knowledgeable and very patient to explain and quote me on different policies.
It is very easy to get insurance and…,It is very easy to get insurance and all just straight forward questions
Pleasant and efficient phone service…,Pleasant and efficient phone service for top up.
Your agent,"Your agent, Karla was helpful, knowledgeable, effective and efficient. Her service was worthy of the high rating."
Good service and fast,"Date of experience: November 06, 2024"
They are knowledgeable get you through…,They are knowledgeable get you through the process quickly.
Prompt response,"Prompt response, clear instructions, patient explanation, reasonable rates."
The agent's spent a lot of time with…,The agent's spent a lot of time with me and we're very thorough and helpful
Backup paperwork and a identification…,Backup paperwork and a identification card to carry with you
worth checking,"Asked certain health questions no other company has asked, even if you're in perfect health by the time the questions are finished, .....well you sound like a health risk."
The representative I spoke with was…,"The representative I spoke with was knowledgeable, pleasant, articulate and gave me two options from which to choose for my trip. The price was competitive and as I had utilized their service for the past two years, saw no reason to change."
Great telephone service and assistance…,Great telephone service and assistance in completing the application for their no stability insurance.
Travel Insurance made easy,Online process was straight forward and quick! Prices are competitive. Documentation received was complete and was forwarded immediately. The only thing to note is if you want to top up your cancellation insurance portion you have to call as it is not available online!!
Easy to manage and representatives were…,Easy to manage and representatives were knowledgeable and friendly.
They paid my u.s,"They paid my u.s. hospital bill. Unfortunately they found a few things that cannot be dated, but sent me to specialist at home in canada. The test results showed nothing wrong. One test revealed a stage 0 breast cancer which was removed with no other action required. Medipac called me to tell me yhe physician and underwriters decided they won't insure me. Sounds like a one and done to me. They said no but we will see."
Very friendly and professional service.,"Date of experience: November 08, 2024"
Travel Insurance,"It is so easy to obtain quote for travel insurance and receive helpful guidance from your agents during the process.
Quick thorough and painless!"
Very helpful and thorough CS agent.,"Date of experience: November 08, 2024"
It was easy to do online but I do find…,It was easy to do online but I do find it a little pricy
We were in the US and had to extend for…,"We were in the US and had to extend for one day, but when I used the 1 800 number…it said call failed (calling from the US? Blame Donald Trump?). I managed to get new policies to cover the extra time…did not want to gamble on zero coverage!"
Best Deal Ever,We found the most competitive medical emergency travel insurance with Snowbird and look forward to travelling without ever needing to use it!
Snowbird Travel Insurance,"I have used Snowbird Advisor for travel insurance for the past several years and have recommended it to several friends who have also started using their insurance products.
I have found their travel insurance prices competitive and as coverage as comprehensive as more expense companies.
I normally purchase my policy online but when I have questions for need help I have found their staff to be friendly, knowledgeable and always helpful."
Easy to reach you by phone and very…,Easy to reach you by phone and very helpful agents who took the time to explain everything and walk me through the process
coverage and pricing,pretty straight forward some areas a second read.
Snowbird,The agent I spoke too was very helpful and caring. The rates quoted were in line with others I compared. I have been a customer for a few years. I never had a claim so I can't say how that would be handled.
A very knowledgeable,"A very knowledgeable, English speaking, patient, representative on the phone."
Best prices,Great service on time and polite and best prices
Quick,"Quick, easy, informative."
Trip Cancellation request,Happy with prompt service for trip cancellation / trip interruption.
Good knowledgeable agent,"Good knowledgeable agent. Quick, efficient."
"Easy process, Great service and product.","Easy process, the representative was patient and so nice, the price is good and covers all we need for the year."
First time getting coverage,"First time getting coverage, sales agent was very helpful and had a great personality."
Your health situation can be assessed…,"Your health situation can be assessed over the phone which makes it very efficient. The two individuals I spoke with were professional and communicated well. I encourage one to read the policy. Although it is lengthy, it’s very important to understand it, like any other legal document.
I’m going on a week long trip and the fee was very reasonable."
The person I dealt with on the phone…,The person I dealt with on the phone was Antonnette. She answered all my questions and walked me through the process. She was absolutely fantastic.
1/2 the price of caa,"Date of experience: November 05, 2024"
Service people were great and…,Service people were great and knowledgeable regarding travel insurance.
Application process was super easy.,Application process was super easy.
Very thorough and friendly customer…,Very thorough and friendly customer service.
Easy process to go through,Easy process to go through. Very good pricing.
Makayla Was Very Professional,Makayla was very professional and helpful. Her tone of voice was very pleasant and personable. She fulfilled our need of purchasing all-inclusive travel insurance and wished a nice trip. ⭐️ ⭐️⭐️⭐️⭐️ employee!
Helpful,"Helpful, friendly representative"
Helpful,The insurance consultant was very professional and helpful.
Positive experience,"The agent was polite, easy to understand and very helpful in finding us the best insurance for our needs."
It’s all good,"It’s all good! Easy to fill out medical questionnaire. Easy to understand. Better coverage, better prices!"
Very simple and efficient,The call and purchasing travel insurance experience with Snowbird Advisor was effortless and efficient. The staff were very helpful. It was so nice actually talking to a person.
Took the time to provide quotes for (a)…,Took the time to provide quotes for (a) annual insurance or (b) trip by trip coverage. Signed up with a phone call.
Always have the most helpful,"Always have the most helpful, knowledgeable and polite staff. We have in the past had to shorten our stay, and did not have any issue cancelling and receiving a refund! Thank you for your professionalism!"
Easy renewal process,"Date of experience: November 05, 2024"
Cost effective,Cost effective. Easy to use.
Pleasant employees,"Pleasant employees, very efficient ."
Lyle,The gals that helped me on the phone
Equitable in reviewing pre conditions…,Equitable in reviewing pre conditions and pricing
Quick convenient and partnering with…,Quick convenient and partnering with Telus
The purchase process is easy peasy,"I haven't had to make a claim, but the purchase is easy as can be."
Great rates,"Date of experience: October 30, 2024"
customer service is great!,customer service is great!
Easy to get a quote and comparatively…,Easy to get a quote and comparatively the best price.
The online format was very easy to…,The online format was very easy to follow to get our quote.
